
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.23      0.15      0.30      0.03      0.38      2.60      4.87
cov_eigen_values_1[1]      0.07      0.01      0.07      0.05      0.09      3.47      1.85
cov_eigen_values_1[2]      0.11      0.01      0.11      0.09      0.13   3801.87      1.01
cov_eigen_values_2[0]      4.73      1.34      4.84      2.07      6.56      5.46      1.36
cov_eigen_values_2[1]      0.30      0.08      0.30      0.15      0.41      7.67      1.22
cov_eigen_values_2[2]      0.21      0.07      0.22      0.09      0.30      5.50      1.36
cov_eigen_values_3[0]      1.01      0.23      1.00      0.60      1.37      2.94      2.54
cov_eigen_values_3[1]      0.25      0.07      0.24      0.14      0.38      2.87      2.73
cov_eigen_values_3[2]      0.06      0.01      0.06      0.05      0.07      8.06      1.21
cov_eigen_values_4[0]      2.03      0.55      2.18      0.90      2.60      2.85      2.78
cov_eigen_values_4[1]      0.34      0.13      0.38      0.08      0.47      2.67      3.80
cov_eigen_values_4[2]      0.06      0.01      0.06      0.05      0.08      4.78      1.43
cov_eigen_values_5[0]      1.80      0.45      1.64      1.24      2.55      3.27      2.03
cov_eigen_values_5[1]      0.31      0.05      0.31      0.22      0.37      4.90      1.41
cov_eigen_values_5[2]      0.44      0.08      0.42      0.32      0.57      3.90      1.64
cov_eigen_values_6[0]      0.62      0.09      0.61      0.46      0.75     18.06      1.09
cov_eigen_values_6[1]      1.52      0.22      1.51      1.16      1.86    382.52      1.02
cov_eigen_values_6[2]      0.98      0.15      0.97      0.74      1.21     16.72      1.10
       mean_data_1[0]      6.86      0.04      6.87      6.79      6.93   3238.46      1.01
       mean_data_1[1]     -0.64      0.01     -0.64     -0.67     -0.62   4627.08      1.00
       mean_data_1[2]      0.31      0.02      0.31      0.28      0.34   5637.40      1.00
       mean_data_2[0]      2.16      3.12      0.84     -1.66      7.15      2.88      2.69
       mean_data_2[1]     -0.52      0.11     -0.50     -0.70     -0.37      3.40      1.91
       mean_data_2[2]      0.18      0.14      0.17     -0.04      0.40      8.87      1.19
       mean_data_3[0]     -3.38      0.19     -3.40     -3.70     -3.07      3.72      1.74
       mean_data_3[1]     -0.29      0.06     -0.29     -0.39     -0.19      7.57      1.24
       mean_data_3[2]     -0.01      0.05     -0.01     -0.09      0.07     10.99      1.16
       mean_data_4[0]     -1.39      1.28     -0.70     -3.55     -0.08      2.59      5.23
       mean_data_4[1]      0.09      0.25      0.18     -0.32      0.39      2.79      3.07
       mean_data_4[2]     -0.27      0.17     -0.33     -0.47      0.02      2.77      3.16
       mean_data_5[0]      1.90      0.95      2.31      0.10      2.92      2.75      3.26
       mean_data_5[1]      0.51      0.08      0.52      0.38      0.64      6.69      1.26
       mean_data_5[2]     -0.34      0.09     -0.34     -0.49     -0.21    146.27      1.02
       mean_data_6[0]      0.35      0.65      0.13     -0.35      1.66      2.86      2.74
       mean_data_6[1]      1.18      0.26      1.23      0.70      1.54      3.83      1.67
       mean_data_6[2]      0.58      0.36      0.67     -0.14      1.03      3.36      1.93
                 mu_1      3.18      0.01      3.18      3.15      3.20      7.43      1.23
                 mu_2      2.93      0.03      2.93      2.89      2.99      3.51      1.83
                 mu_3      1.66      0.61      1.28      1.23      2.84      2.51     23.68
                 mu_4      0.14      0.31     -0.00     -0.07      0.80      2.53      9.84

Number of divergences: 17
