
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.47      0.04      0.47      0.42      0.53      6.60      1.10
cov_eigen_values_1[1]      0.11      0.03      0.10      0.07      0.15      7.07      1.09
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     29.76      1.00
cov_eigen_values_1[3]      0.04      0.01      0.04      0.03      0.05     32.53      1.00
cov_eigen_values_1[4]      0.02      0.01      0.02      0.02      0.03     48.42      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    138.72      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    117.05      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01     73.52      1.00
cov_eigen_values_2[0]      0.59      0.07      0.57      0.51      0.71     10.07      1.47
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.08     32.12      1.00
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.09     21.94      1.09
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     61.10      1.00
cov_eigen_values_2[4]      0.05      0.00      0.05      0.04      0.05     73.77      1.00
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01     90.94      1.00
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    287.39      0.99
cov_eigen_values_2[7]      0.03      0.00      0.03      0.02      0.04    132.67      1.01
cov_eigen_values_3[0]      0.31      0.02      0.31      0.28      0.34     17.53      1.22
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.16     23.31      1.01
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00     82.49      1.01
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    130.30      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     59.09      1.01
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.06     86.77      1.00
cov_eigen_values_3[6]      0.06      0.01      0.06      0.06      0.07     69.83      1.01
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.07     46.59      1.00
cov_eigen_values_4[0]      0.20      0.04      0.19      0.15      0.27      4.34      1.27
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.09     42.84      1.06
cov_eigen_values_4[2]      0.05      0.01      0.05      0.04      0.07     38.37      1.05
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     43.62      0.99
cov_eigen_values_4[4]      0.03      0.00      0.02      0.02      0.03     75.37      1.01
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00    129.41      1.00
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    265.60      1.00
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    146.14      1.01
cov_eigen_values_5[0]      0.49      0.05      0.48      0.40      0.55      4.00      1.16
cov_eigen_values_5[1]      0.09      0.03      0.08      0.05      0.13      8.33      1.10
cov_eigen_values_5[2]      0.06      0.01      0.06      0.05      0.08     25.04      0.99
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.06     13.11      1.10
cov_eigen_values_5[4]      0.03      0.00      0.02      0.02      0.03     72.46      0.99
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.01     75.19      1.00
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     95.65      0.99
cov_eigen_values_5[7]     -0.00      0.00     -0.00     -0.00      0.00    238.46      0.99
cov_eigen_values_6[0]      0.14      0.01      0.14      0.12      0.17     12.91      1.13
cov_eigen_values_6[1]      0.04      0.00      0.04      0.03      0.04     75.08      1.10
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03    195.84      0.99
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    225.37      0.99
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01    210.81      0.99
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00    125.02      0.99
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00     84.44      1.04
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00     90.67      1.02
       mean_data_1[0]      3.86      0.10      3.85      3.72      4.00      3.38      2.65
       mean_data_1[1]      0.44      0.01      0.45      0.42      0.46      7.16      1.04
       mean_data_1[2]     -0.36      0.03     -0.37     -0.41     -0.32      2.83      2.31
       mean_data_1[3]      0.13      0.03      0.14      0.09      0.16      3.56      1.74
       mean_data_1[4]     -0.04      0.02     -0.04     -0.06     -0.00      6.24      1.33
       mean_data_1[5]     -0.08      0.01     -0.08     -0.09     -0.07     14.02      1.06
       mean_data_1[6]      0.07      0.01      0.07      0.06      0.08     12.35      1.02
       mean_data_1[7]     -0.02      0.01     -0.02     -0.03     -0.01      5.30      1.39
       mean_data_2[0]      1.12      0.10      1.11      0.97      1.27      4.17      1.61
       mean_data_2[1]      0.56      0.01      0.56      0.55      0.57     16.49      0.99
       mean_data_2[2]     -0.52      0.01     -0.52     -0.53     -0.50      8.09      1.26
       mean_data_2[3]      0.01      0.01      0.01     -0.01      0.03      4.14      1.57
       mean_data_2[4]      0.04      0.01      0.04      0.02      0.06     11.23      1.07
       mean_data_2[5]      0.05      0.01      0.05      0.03      0.07      9.94      1.20
       mean_data_2[6]     -0.02      0.01     -0.02     -0.03     -0.01     29.23      1.00
       mean_data_2[7]      0.01      0.01      0.01     -0.00      0.02     19.45      1.01
       mean_data_3[0]     -3.91      0.02     -3.91     -3.94     -3.88      8.28      1.05
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.42      7.82      1.06
       mean_data_3[2]      0.09      0.01      0.09      0.08      0.10     12.15      1.01
       mean_data_3[3]      0.00      0.02      0.01     -0.03      0.04      7.30      1.02
       mean_data_3[4]      0.03      0.01      0.03      0.01      0.05     38.14      1.02
       mean_data_3[5]     -0.01      0.00     -0.01     -0.01      0.00     52.54      0.99
       mean_data_3[6]      0.01      0.01      0.01     -0.00      0.02     14.77      1.03
       mean_data_3[7]      0.00      0.01      0.00     -0.01      0.01     29.29      1.02
