
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.47      0.06      0.46      0.38      0.57      9.10      1.25
cov_eigen_values_1[1]      0.09      0.02      0.09      0.07      0.12     11.53      1.34
cov_eigen_values_1[2]      0.06      0.02      0.05      0.04      0.09      9.51      1.05
cov_eigen_values_1[3]      0.04      0.01      0.04      0.03      0.05     45.85      0.99
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03    104.34      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     96.70      0.99
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    109.85      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    139.28      1.00
cov_eigen_values_2[0]      0.56      0.05      0.57      0.46      0.64      7.87      1.28
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09     61.65      1.01
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.08     46.17      1.02
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     81.65      0.99
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     42.49      1.01
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01    132.68      0.99
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    214.11      0.99
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04     96.79      1.00
cov_eigen_values_3[0]      0.33      0.02      0.33      0.30      0.37     27.51      1.00
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.16     18.88      0.99
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    136.83      1.00
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    267.34      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     59.31      1.00
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05    113.52      1.00
cov_eigen_values_3[6]      0.07      0.01      0.06      0.05      0.08     91.87      1.00
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.07    110.53      1.02
cov_eigen_values_4[0]      0.21      0.03      0.20      0.18      0.26     21.45      1.04
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.10     19.25      1.01
cov_eigen_values_4[2]      0.06      0.01      0.06      0.04      0.07     36.78      1.00
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     85.71      1.01
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03    158.26      1.00
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00    110.42      0.99
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    195.57      1.01
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    130.73      1.01
cov_eigen_values_5[0]      0.53      0.05      0.52      0.45      0.62      3.80      1.68
cov_eigen_values_5[1]      0.08      0.02      0.08      0.05      0.10     14.95      1.06
cov_eigen_values_5[2]      0.06      0.01      0.06      0.05      0.08     53.70      0.99
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05     22.10      0.99
cov_eigen_values_5[4]      0.02      0.00      0.02      0.02      0.03    133.16      1.00
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02    162.24      1.00
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     75.48      1.03
cov_eigen_values_5[7]      0.00      0.00      0.00     -0.00      0.00    276.44      1.00
cov_eigen_values_6[0]      0.14      0.02      0.14      0.12      0.17     17.83      1.03
cov_eigen_values_6[1]      0.04      0.01      0.04      0.03      0.05     88.40      1.00
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03    128.41      1.03
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    161.60      1.00
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.02    142.21      1.00
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00     77.89      1.00
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00    155.99      0.99
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00    107.20      1.01
       mean_data_1[0]      3.69      0.05      3.69      3.62      3.77      3.84      1.95
       mean_data_1[1]      0.47      0.01      0.47      0.45      0.49     11.77      1.05
       mean_data_1[2]     -0.38      0.03     -0.38     -0.43     -0.34      3.98      1.83
       mean_data_1[3]      0.13      0.02      0.13      0.09      0.16      5.32      1.63
       mean_data_1[4]     -0.02      0.02     -0.02     -0.05      0.00     11.63      1.25
       mean_data_1[5]     -0.08      0.01     -0.08     -0.09     -0.07      8.97      1.33
       mean_data_1[6]      0.06      0.01      0.06      0.05      0.07     15.93      1.00
       mean_data_1[7]     -0.02      0.01     -0.02     -0.03     -0.00     11.65      1.29
       mean_data_2[0]      0.96      0.04      0.95      0.90      1.06      6.21      1.24
       mean_data_2[1]      0.56      0.01      0.56      0.55      0.57     35.51      1.03
       mean_data_2[2]     -0.53      0.01     -0.53     -0.55     -0.52     22.47      1.12
       mean_data_2[3]     -0.01      0.01     -0.01     -0.02      0.01     38.32      1.02
       mean_data_2[4]      0.05      0.01      0.05      0.04      0.07     23.88      1.01
       mean_data_2[5]      0.03      0.01      0.03      0.02      0.05     27.52      1.00
       mean_data_2[6]     -0.02      0.01     -0.02     -0.04     -0.01     35.79      1.06
       mean_data_2[7]      0.01      0.01      0.01      0.00      0.02     56.25      1.01
       mean_data_3[0]     -3.93      0.03     -3.93     -3.98     -3.88      4.57      1.68
       mean_data_3[1]     -0.45      0.02     -0.45     -0.47     -0.42      5.04      1.53
       mean_data_3[2]      0.10      0.01      0.10      0.08      0.12      4.79      1.69
       mean_data_3[3]      0.03      0.04      0.03     -0.02      0.08      4.98      1.64
