
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      6.87      0.01      6.87      6.85      6.88    123.31      0.99
mean_data1[1]     -0.65      0.01     -0.65     -0.67     -0.63    139.58      1.01
mean_data1[2]      0.31      0.01      0.31      0.29      0.32    104.99      1.00
mean_data1[3]     -0.04      0.01     -0.04     -0.05     -0.04    135.60      1.00
mean_data1[4]     -0.00      0.00     -0.00     -0.01      0.00    107.21      1.01
mean_data1[5]     -0.00      0.00     -0.00     -0.01      0.00     90.63      1.04
mean_data1[6]     -0.01      0.01     -0.01     -0.02     -0.00    133.22      1.01
mean_data1[7]     -0.00      0.00     -0.00     -0.01      0.00    156.58      0.99
mean_data2[0]     -4.10      0.01     -4.10     -4.12     -4.08    113.15      1.04
mean_data2[1]     -0.52      0.01     -0.52     -0.53     -0.51    160.22      1.01
mean_data2[2]      0.18      0.00      0.18      0.18      0.19    187.78      1.00
mean_data2[3]      0.23      0.02      0.23      0.20      0.26    208.58      0.99
mean_data2[4]      0.05      0.02      0.05      0.01      0.08    162.05      0.99
mean_data2[5]     -0.01      0.01     -0.01     -0.02      0.01    177.32      1.00
mean_data2[6]      0.00      0.01      0.00     -0.00      0.01    170.54      1.00
mean_data2[7]      0.01      0.01      0.01     -0.01      0.02    129.41      1.00
mean_data3[0]     -3.24      0.06     -3.23     -3.33     -3.13     21.48      1.03
mean_data3[1]     -0.21      0.02     -0.21     -0.23     -0.16     20.82      1.03
mean_data3[2]     -0.08      0.01     -0.09     -0.10     -0.06     23.79      1.03
mean_data3[3]     -0.15      0.01     -0.15     -0.16     -0.13     30.90      1.01
mean_data3[4]     -0.05      0.01     -0.05     -0.07     -0.03     31.15      1.02
mean_data3[5]      0.01      0.01      0.01     -0.01      0.02     92.49      0.99
mean_data3[6]      0.01      0.00      0.01      0.00      0.01     56.16      1.02
mean_data3[7]     -0.01      0.01     -0.01     -0.02     -0.00     59.58      1.02
mean_data4[0]      0.67      0.04      0.67      0.62      0.74     51.88      0.99
mean_data4[1]      0.54      0.01      0.54      0.53      0.55     62.23      0.99
mean_data4[2]     -0.59      0.01     -0.59     -0.60     -0.58     44.35      1.00
mean_data4[3]     -0.04      0.01     -0.04     -0.05     -0.03    117.93      1.00
mean_data4[4]      0.06      0.01      0.06      0.05      0.07     47.61      0.99
mean_data4[5]      0.00      0.01      0.00     -0.01      0.01     56.66      0.99
mean_data4[6]     -0.01      0.00     -0.01     -0.02     -0.01    107.91      1.00
mean_data4[7]      0.02      0.01      0.02      0.01      0.03    115.24      1.00
mean_data5[0]      2.84      0.19      2.82      2.56      3.14     91.67      1.01
mean_data5[1]      0.49      0.01      0.49      0.46      0.51     86.99      1.02
mean_data5[2]     -0.44      0.01     -0.44     -0.46     -0.42    103.36      1.00
mean_data5[3]      0.12      0.01      0.12      0.10      0.13    139.77      1.00
mean_data5[4]     -0.00      0.01     -0.00     -0.02      0.01    129.44      1.00
mean_data5[5]     -0.01      0.01     -0.01     -0.02      0.00    148.61      1.00
mean_data5[6]      0.00      0.02     -0.00     -0.03      0.03     97.39      1.01
mean_data5[7]     -0.01      0.01     -0.01     -0.02      0.00    111.50      1.00
mean_data6[0]     -0.49      0.22     -0.52     -0.78     -0.28     60.36      1.03
mean_data6[1]      1.49      0.01      1.49      1.47      1.51    126.76      1.00
mean_data6[2]      0.98      0.05      0.98      0.93      1.04     53.41      1.03
mean_data6[3]      0.00      0.01     -0.00     -0.02      0.01     38.43      1.03
mean_data6[4]      0.03      0.03      0.02     -0.01      0.07    114.25      1.01
mean_data6[5]      0.01      0.02      0.01     -0.01      0.04    153.85      1.00
mean_data6[6]      0.00      0.01      0.00     -0.01      0.02    109.50      1.01
mean_data6[7]     -0.01      0.02     -0.01     -0.04      0.01     94.70      1.01
         mu_1      3.06      0.07      3.07      2.93      3.15     35.71      0.99
         mu_2      2.28      0.05      2.30      2.19      2.34     18.89      1.01
         mu_3      1.15      0.05      1.16      1.08      1.23     48.76      1.01
         mu_4     -0.07      0.05     -0.07     -0.15     -0.01     44.75      1.03

Number of divergences: 0
