,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,40489644,1e-05
1,20.0,0.0,-6.878931297950032,40489644,1e-05
2,30.0,0.0,-1.0,40489644,1e-05
3,0.0,0.0,-39.0,29250809,1e-05
4,20.0,0.0,-16.832555286052752,29250809,1e-05
5,40.0,0.0,-15.999999999999993,29250809,1e-05
6,0.0,0.0,-61.0,752913,1e-05
7,20.0,0.0,-40.27287075604924,752913,1e-05
8,60.0,0.0,-27.0,752913,1e-05
9,0.0,0.0,-72.0,61320215,1e-05
10,30.0,0.0,-55.5,61320215,1e-05
11,60.0,0.0,-39.0,61320215,1e-05
12,20.0,0.0,-72.06642668530712,73186173,1e-05
13,60.0,0.0,-52.0,73186173,1e-05
14,70.0,0.0,-77.0,33608304,1e-05
15,80.0,0.0,-71.0,33608304,1e-05
