
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.11      0.00     -2.11     -2.11     -2.11    393.58      0.99
mean_data1[1]     -0.52      0.00     -0.52     -0.52     -0.52    360.28      1.00
mean_data1[2]      0.04      0.00      0.04      0.04      0.04    143.34      1.00
mean_data1[3]     -0.02      0.00     -0.02     -0.02     -0.02    583.13      0.99
mean_data1[4]      0.01      0.00      0.01      0.01      0.01    282.57      0.99
mean_data1[5]     -0.00      0.00     -0.00     -0.00     -0.00    342.02      1.00
mean_data1[6]     -0.01      0.00     -0.01     -0.01     -0.01    520.83      0.99
mean_data1[7]     -0.01      0.00     -0.01     -0.01     -0.01    394.21      1.00
mean_data2[0]      4.01      0.00      4.01      4.01      4.01    242.43      0.99
mean_data2[1]     -2.71      0.00     -2.71     -2.71     -2.71   2185.38      1.00
mean_data2[2]     -0.05      0.00     -0.05     -0.05     -0.05    708.95      0.99
mean_data2[3]      0.07      0.00      0.07      0.07      0.07    447.14      0.99
mean_data2[4]     -0.02      0.00     -0.02     -0.02     -0.02    333.66      0.99
mean_data2[5]     -0.00      0.00     -0.00     -0.00     -0.00    415.53      0.99
mean_data2[6]     -0.01      0.00     -0.01     -0.01     -0.01    226.45      0.99
mean_data2[7]     -0.01      0.00     -0.01     -0.01     -0.01    410.57      0.99
mean_data3[0]      1.82      0.00      1.82      1.82      1.82    264.63      0.99
mean_data3[1]      3.61      0.00      3.61      3.61      3.61    483.22      0.99
mean_data3[2]     -0.05      0.00     -0.05     -0.05     -0.05    586.48      0.99
mean_data3[3]     -0.01      0.00     -0.01     -0.01     -0.01   3163.39      0.99
mean_data3[4]     -0.00      0.00     -0.00     -0.00     -0.00    727.58      0.99
mean_data3[5]      0.00      0.00      0.00      0.00      0.00    515.02      1.00
mean_data3[6]      0.03      0.00      0.03      0.03      0.03    424.44      0.99
mean_data3[7]      0.02      0.00      0.02      0.02      0.02    197.24      0.99
         mu_1      0.03      0.00      0.03      0.03      0.03      3.00      2.19
         mu_2     -0.00      0.00     -0.00     -0.00     -0.00      8.20      1.22

Number of divergences: 0
