
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -6.08      2.19     -5.75     -9.41     -3.25      3.10      4.27
mean_data1[1]     -0.60      0.34     -0.54     -1.07     -0.12      3.53      2.66
mean_data1[2]     -0.06      0.35     -0.02     -0.61      0.52      3.58      2.50
mean_data1[3]     -0.10      0.19     -0.09     -0.41      0.19     11.25      1.25
mean_data1[4]     -0.04      0.21     -0.03     -0.38      0.31     11.17      1.28
mean_data1[5]      0.01      0.17     -0.00     -0.28      0.30     47.88      1.09
mean_data1[6]      0.00      0.14      0.01     -0.24      0.21      4.72      1.57
mean_data1[7]      0.02      0.12      0.02     -0.18      0.21     27.24      1.15
mean_data2[0]      2.70      1.70      2.22      0.47      4.95      2.88      4.13
mean_data2[1]     -0.28      0.12     -0.26     -0.49     -0.10      4.74      1.66
mean_data2[2]      0.15      0.35      0.24     -0.32      0.70      2.97      3.33
mean_data2[3]     -0.02      0.09     -0.02     -0.17      0.14      7.98      1.32
mean_data2[4]      0.12      0.28      0.13     -0.27      0.61      3.35      2.34
mean_data2[5]      0.07      0.16      0.08     -0.18      0.34     27.78      1.12
mean_data2[6]     -0.03      0.09     -0.04     -0.19      0.09      3.65      2.06
mean_data2[7]      0.02      0.16      0.02     -0.24      0.26      9.11      1.36
mean_data3[0]      2.83      1.95      3.38     -1.40      4.52      3.17      2.66
mean_data3[1]      0.16      0.78      0.16     -0.98      1.35      7.29      1.64
mean_data3[2]      0.34      0.97      0.23     -1.48      1.70      4.37      1.82
mean_data3[3]      0.01      1.22     -0.02     -1.91      1.91      5.75      1.76
mean_data3[4]      0.44      1.53      0.43     -2.25      2.20      4.99      2.72
mean_data3[5]      1.11      1.55      0.53     -0.32      4.43      4.16      1.90
mean_data3[6]     -0.06      0.98     -0.01     -2.26      0.97      4.70      2.28
mean_data3[7]      0.68      1.60      0.27     -1.72      2.25     11.00      1.89
mean_data4[0]     -1.35      0.76     -1.22     -2.56     -0.05      5.45      1.82
mean_data4[1]      0.55      0.14      0.54      0.31      0.76     28.84      1.15
mean_data4[2]      0.52      0.16      0.50      0.27      0.79     51.03      1.09
mean_data4[3]     -0.03      0.18     -0.02     -0.28      0.30     10.77      1.38
mean_data4[4]     -0.04      0.23     -0.05     -0.42      0.31     22.68      1.27
mean_data4[5]      0.07      0.22      0.06     -0.32      0.41     23.36      1.16
mean_data4[6]     -0.05      0.16     -0.03     -0.33      0.21     29.45      1.14
mean_data4[7]     -0.02      0.16     -0.01     -0.30      0.22     65.71      1.11
mean_data5[0]      0.63      1.39      0.70     -1.81      2.52      4.35      2.28
mean_data5[1]      1.48      0.44      1.49      0.68      2.17      4.76      1.96
mean_data5[2]     -0.97      0.34     -0.98     -1.45     -0.34      6.03      1.63
mean_data5[3]     -0.02      0.34     -0.02     -0.53      0.52     15.47      1.29
mean_data5[4]     -0.02      0.29     -0.05     -0.45      0.50     25.49      1.22
mean_data5[5]     -0.01      0.33     -0.04     -0.49      0.52     18.48      1.18
mean_data5[6]     -0.01      0.16     -0.02     -0.27      0.24     40.05      1.16
mean_data5[7]      0.01      0.37      0.01     -0.54      0.62      6.10      1.41
mean_data6[0]     -6.62      3.14     -7.19     -8.81     -1.78      5.38      2.16
mean_data6[1]     -0.52      2.42     -0.82     -3.34      3.76      2.65      5.00
mean_data6[2]      2.14      5.64     -0.19     -2.68     13.82      3.79      2.10
mean_data6[3]     -3.46      4.20     -0.92    -10.23      0.85      2.85      3.73
mean_data6[4]      0.25      1.94      0.43     -2.88      3.19      3.12      4.35
mean_data6[5]     -0.27      1.75      0.16     -3.04      2.01      3.05      3.39
mean_data6[6]     -1.50      2.15     -1.10     -5.04      1.12      4.02      1.97
mean_data6[7]      1.12      2.24      0.63     -1.87      5.37      3.01      3.25
         mu_1      3.00      0.09      3.00      2.85      3.13      6.53      1.38
         mu_2      1.54      0.61      1.25      1.15      2.77      2.52     12.43
         mu_3      0.95      0.19      1.04      0.71      1.16      6.19      3.75
         mu_4     -0.39      0.01     -0.40     -0.40     -0.38    223.33      1.02

Number of divergences: 2500
